NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
60,7,-7.3,4.047,6.594,1.151545336
60,8,-6.8,2.714,5.572,0.830927609
60,9,-6.8,3.135,4.36,1.266358794
61,1,-7.6,0,0,1.157475378
61,2,-7.6,3.891,6.903,1.176017174
61,3,-7.5,4.135,6.535,1.584714915
61,4,-7.2,4.428,7.232,1.5810495
61,5,-7.1,3.189,4.615,1.561818472
61,6,-6.9,3.981,6.094,1.045972474
61,7,-6.8,3.871,5.873,1.591629386
61,8,-6.7,2.842,3.907,1.376947828
61,9,-6.7,2.968,4.114,1.289264939
62,1,-7.8,0,0,1.145987783
62,2,-7.3,4.348,6.782,1.575787371
62,3,-7.1,4.065,6.94,0.961529377
62,4,-6.9,4.18,7.325,1.520058702
62,5,-6.8,3.266,6.013,1.018788787
62,6,-6.7,3.708,5.872,0.972228133
62,7,-6.7,4.363,6.91,1.559348818
62,8,-6.6,4.253,7.243,1.504251397
62,9,-6.4,4.267,7.035,1.147548421
63,1,-8.2,0,0,1.212228357
63,2,-7.9,4.299,7.196,1.13728187
63,3,-7.5,4.404,6.944,1.1560563
63,4,-7.4,4.282,7.566,1.63330318
63,5,-7.4,1.008,1.731,1.290543725
63,6,-7.3,4.825,7.432,1.154819515
63,7,-7.3,4.542,7.283,1.376636649
63,8,-7.3,3.022,6.076,1.158158356
63,9,-7,4.461,7.527,1.251850214
64,1,-9,0,0,1.366574136
64,2,-8.6,3.731,6.405,1.296087687
64,3,-8.3,3.864,7.399,1.595126663
64,4,-8.2,2.966,5.87,1.28006588
64,5,-8.2,4.167,6.575,1.32276914
64,6,-8.1,2.347,3.137,1.314111526
64,7,-8.1,2.404,5.768,1.438230251
64,8,-7.7,4.004,7.014,1.364310537
64,9,-7.7,1.771,2.603,1.648042703
65,1,-8.5,0,0,1.10402726
65,2,-8.3,3.426,4.969,1.220519826
65,3,-8.3,2.288,2.941,1.21274969
65,4,-7.9,4.215,6.42,1.5052724
65,5,-7.9,3.398,6.112,1.24659126
65,6,-7.8,1.998,4.68,1.378239487
65,7,-7.8,3.8,5.893,1.575242667
65,8,-7.5,1.495,2.286,0.675034092
65,9,-7.4,1.964,4.595,1.208981537
66,1,-8,0,0,1.277966146
66,2,-7.8,3.977,7.017,1.256988317
66,3,-7.7,3.779,6.701,1.271415998
66,4,-7.5,4.221,6.743,1.376353699
66,5,-7.3,3.935,6.024,1.23717858
66,6,-7.3,1.254,1.672,1.285403295
66,7,-7.2,4.502,7.279,1.345518378
66,8,-7.1,4.306,6.949,1.452690855
66,9,-6.8,2.776,5.971,1.076568855
67,1,-8.1,0,0,1.069725928
67,2,-7.7,4.199,7.187,1.289606642
67,3,-7.6,4.357,6.998,1.663514079
67,4,-7.3,4.353,7.078,1.443873073
67,5,-7.3,4.625,7.205,1.609960878
67,6,-7.2,4.056,6.362,1.746108967
67,7,-7.1,4.81,7.488,1.48904381
67,8,-7,4.286,7.071,1.467204711
67,9,-6.8,3.368,5.036,1.623628379
68,1,-8.7,0,0,1.364090517
68,2,-8.4,0.828,1.296,1.355367547
68,3,-8.1,2.7,5.556,1.177412743
68,4,-8,4.316,6.821,1.23581212
68,5,-7.8,2.781,5.254,0.729338722
